ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin
Standard Class,Corporate,United States,Columbus,Georgia,31907,south,office supplies,Binders,319.9,5,0.0,156.751,0.49
Standard Class,Corporate,United States,Columbus,Georgia,31907,south,office supplies,Envelopes,11.36,2,0.0,5.3392,0.47
Standard Class,Corporate,United States,Columbus,Georgia,31907,south,office supplies,Appliances,675.12,3,0.0,290.3016,0.43
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,furniture,Furnishings,62.82,3,0.0,30.7818,0.49
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,office supplies,Storage,489.92,8,0.0,0.0,0.0
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,office supplies,Paper,19.44,3,0.0,9.3312,0.48
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,office supplies,Paper,16.68,2,0.0,8.34,0.5
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,technology,Phones,155.35,13,0.0,0.0,0.0
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,furniture,Furnishings,12.42,3,0.0,4.4712,0.36
Standard Class,Home Office,United States,Alexandria,Virginia,22304,south,technology,Phones,187.98,2,0.0,52.6344,0.28
Standard Class,Corporate,United States,Haltom City,Texas,76117,central,office supplies,Envelopes,6.608,2,0.2,2.1476,0.33
Standard Class,Consumer,United States,New York City,New York,10024,east,office supplies,Storage,248.57,7,0.0,67.1139,0.27
Standard Class,Consumer,United States,New York City,New York,10024,east,furniture,Furnishings,22.23,1,0.0,9.7812,0.44
Standard Class,Home Office,United States,Los Angeles,California,90004,west,office supplies,Storage,5.98,1,0.0,1.0166,0.17
Standard Class,Home Office,United States,Los Angeles,California,90004,west,technology,Phones,246.168,3,0.2,21.5397,0.09
Standard Class,Consumer,United States,Wheeling,Illinois,60090,central,furniture,Furnishings,14.136,2,0.6,-7.7748,-0.55
Standard Class,Consumer,United States,Wheeling,Illinois,60090,central,furniture,Tables,601.47,3,0.5,-300.735,-0.5
Second Class,Corporate,United States,Summerville,South Carolina,29483,south,technology,Phones,79.1,2,0.0,39.55,0.5
Second Class,Corporate,United States,Summerville,South Carolina,29483,south,office supplies,Binders,327.84,8,0.0,157.3632,0.48
Standard Class,Corporate,United States,Columbus,Indiana,47201,central,office supplies,Envelopes,180.96,2,0.0,81.432,0.45
Standard Class,Corporate,United States,Columbus,Indiana,47201,central,office supplies,Binders,914.97,3,0.0,411.7365,0.45
Standard Class,Corporate,United States,Columbus,Indiana,47201,central,technology,Phones,587.97,3,0.0,158.7519,0.27
Standard Class,Corporate,United States,Columbus,Indiana,47201,central,office supplies,Storage,530.34,2,0.0,95.4612,0.18
Standard Class,Corporate,United States,Columbus,Indiana,47201,central,office supplies,Paper,14.94,3,0.0,7.3206,0.49
Standard Class,Consumer,United States,New York City,New York,10024,east,office supplies,Appliances,121.94,2,0.0,35.3626,0.29
Standard Class,Consumer,United States,New York City,New York,10024,east,office supplies,Supplies,122.71,7,0.0,36.813,0.3
Same Day,Consumer,United States,New York City,New York,10035,east,office supplies,Paper,14.94,3,0.0,7.0218,0.47
Same Day,Consumer,United States,New York City,New York,10035,east,technology,Machines,1349.85,3,0.0,364.4595,0.27
Same Day,Consumer,United States,New York City,New York,10035,east,furniture,Bookcases,136.784,1,0.2,5.1294,0.04
Same Day,Consumer,United States,New York City,New York,10035,east,furniture,Furnishings,61.12,4,0.0,20.7808,0.34
Standard Class,Corporate,United States,Jacksonville,Florida,32216,south,office supplies,Binders,1.167,1,0.7,-0.8558,-0.73
Standard Class,Home Office,United States,San Diego,California,92024,west,office supplies,Art,16.99,1,0.0,4.9271,0.29
Standard Class,Corporate,United States,Arlington,Texas,76017,central,technology,Accessories,24.672,3,0.2,0.0,0.0
Standard Class,Corporate,United States,Arlington,Texas,76017,central,office supplies,Labels,2.52,1,0.2,0.882,0.35
Standard Class,Corporate,United States,Arlington,Texas,76017,central,furniture,Tables,1218.735,5,0.3,-121.8735,-0.1
Standard Class,Corporate,United States,Arlington,Texas,76017,central,office supplies,Labels,5.904,2,0.2,1.9926,0.34
Standard Class,Corporate,United States,Arlington,Texas,76017,central,office supplies,Paper,15.696,3,0.2,5.1012,0.32
Standard Class,Corporate,United States,Arlington,Texas,76017,central,furniture,Furnishings,6.096,3,0.6,-3.9624,-0.65
Standard Class,Corporate,United States,Los Angeles,California,90045,west,furniture,Chairs,41.568,2,0.2,2.598,0.06
Standard Class,Corporate,United States,Los Angeles,California,90049,west,furniture,Chairs,230.28,3,0.2,23.028,0.1
Standard Class,Corporate,United States,Los Angeles,California,90049,west,office supplies,Binders,18.288,6,0.2,5.715,0.31
Standard Class,Consumer,United States,San Francisco,California,94110,west,office supplies,Labels,5.78,2,0.0,2.7166,0.47
Standard Class,Consumer,United States,San Francisco,California,94110,west,office supplies,Binders,121.68,13,0.2,38.025,0.31
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,west,office supplies,Art,4.17,3,0.0,1.0842,0.26
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,west,technology,Phones,67.04,4,0.2,6.704,0.1
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,west,office supplies,Storage,37.32,3,0.0,10.4496,0.28
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,west,office supplies,Labels,18.45,5,0.0,8.6715,0.47
Second Class,Corporate,United States,Saint Louis,Missouri,63116,central,office supplies,Paper,25.92,4,0.0,12.4416,0.48
First Class,Home Office,United States,New York City,New York,10024,east,technology,Copiers,11199.968,4,0.2,3919.9888,0.35
First Class,Home Office,United States,New York City,New York,10024,east,technology,Phones,2399.6,8,0.0,647.892,0.27
First Class,Home Office,United States,New York City,New York,10024,east,office supplies,Envelopes,63.9,5,0.0,28.755,0.45
First Class,Home Office,United States,New York City,New York,10024,east,technology,Phones,52.99,1,0.0,0.5299,0.01
First Class,Corporate,United States,Springfield,Ohio,45503,east,technology,Accessories,60.864,4,0.2,9.1296,0.15
First Class,Corporate,United States,Springfield,Ohio,45503,east,technology,Machines,652.995,7,0.7,-935.9595,-1.43
First Class,Corporate,United States,Springfield,Ohio,45503,east,office supplies,Binders,11.22,10,0.7,-7.48,-0.67
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,central,office supplies,Paper,14.94,3,0.0,7.0218,0.47
Standard Class,Consumer,United States,Seattle,Washington,98103,west,furniture,Furnishings,39.96,2,0.0,17.1828,0.43
Standard Class,Consumer,United States,Seattle,Washington,98103,west,furniture,Chairs,42.624,2,0.2,4.2624,0.1
Standard Class,Consumer,United States,Seattle,Washington,98103,west,furniture,Chairs,220.96,1,0.2,24.858,0.11
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,south,furniture,Furnishings,4.928,2,0.2,0.7392,0.15
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,south,office supplies,Binders,7.23,5,0.7,-5.784,-0.8
Standard Class,Corporate,United States,Los Angeles,California,90045,west,office supplies,Storage,323.1,2,0.0,61.389,0.19
Standard Class,Consumer,United States,New York City,New York,10035,east,office supplies,Paper,19.04,4,0.0,9.3296,0.49
Standard Class,Consumer,United States,New York City,New York,10035,east,office supplies,Binders,13.128,3,0.2,4.2666,0.32
Standard Class,Consumer,United States,New York City,New York,10035,east,office supplies,Art,64.14,3,0.0,16.6764,0.26
Standard Class,Consumer,United States,New York City,New York,10035,east,furniture,Chairs,858.24,4,0.1,143.04,0.17
Standard Class,Consumer,United States,Hot Springs,Arkansas,71901,south,technology,Accessories,29.99,1,0.0,2.999,0.1
First Class,Consumer,United States,Aurora,Illinois,60505,central,office supplies,Paper,186.048,6,0.2,67.4424,0.36
Second Class,Home Office,United States,Raleigh,North Carolina,27604,south,technology,Phones,36.792,1,0.2,4.1391,0.11
Second Class,Home Office,United States,Raleigh,North Carolina,27604,south,furniture,Furnishings,18.624,8,0.2,6.2856,0.34
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,central,furniture,Furnishings,57.69,3,0.0,23.6529,0.41
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,central,office supplies,Binders,42.81,3,0.0,20.1207,0.47
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,central,office supplies,Paper,12.96,2,0.0,6.2208,0.48
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,central,furniture,Furnishings,821.88,6,0.0,213.6888,0.26
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,central,technology,Phones,104.85,3,0.0,28.3095,0.27
Standard Class,Corporate,United States,Hesperia,California,92345,west,furniture,Bookcases,424.9575,5,0.15,19.998,0.05
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Binders,10.776,3,0.2,3.5022,0.32
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Binders,11.784,3,0.2,4.2717,0.36
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Paper,164.88,3,0.0,80.7912,0.49
Second Class,Corporate,United States,Provo,Utah,84604,west,furniture,Bookcases,1292.94,3,0.0,77.5764,0.06
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Binders,25.584,2,0.2,8.9544,0.35
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Storage,261.74,2,0.0,65.435,0.25
Second Class,Corporate,United States,Provo,Utah,84604,west,office supplies,Labels,14.4,5,0.0,7.056,0.49
Standard Class,Consumer,United States,San Francisco,California,94110,west,office supplies,Envelopes,10.86,3,0.0,5.1042,0.47
Standard Class,Corporate,United States,Gilbert,Arizona,85234,west,furniture,Chairs,883.84,4,0.2,99.432,0.11
Standard Class,Corporate,United States,New York City,New York,10035,east,technology,Phones,1979.89,11,0.0,494.9725,0.25
Standard Class,Corporate,United States,New York City,New York,10035,east,office supplies,Envelopes,79.96,2,0.0,35.982,0.45
First Class,Home Office,United States,Springfield,Missouri,65807,central,office supplies,Binders,8.76,2,0.0,4.2048,0.48
First Class,Consumer,United States,Memphis,Tennessee,38109,south,office supplies,Labels,3.984,1,0.2,1.2948,0.32
First Class,Consumer,United States,Memphis,Tennessee,38109,south,furniture,Tables,370.62,3,0.4,-142.071,-0.38
First Class,Consumer,United States,Memphis,Tennessee,38109,south,office supplies,Binders,2.742,2,0.7,-2.0108,-0.73
Same Day,Consumer,United States,Amarillo,Texas,79109,central,technology,Accessories,79.512,3,0.2,20.8719,0.26
Same Day,Consumer,United States,Amarillo,Texas,79109,central,office supplies,Paper,28.352,1,0.2,9.5688,0.34
Standard Class,Home Office,United States,Los Angeles,California,90045,west,furniture,Chairs,40.784,1,0.2,4.5882,0.11
Standard Class,Home Office,United States,Los Angeles,California,90045,west,office supplies,Appliances,105.96,4,0.0,29.6688,0.28
Second Class,Corporate,United States,Lowell,Massachusetts,1852,east,office supplies,Paper,166.44,3,0.0,79.8912,0.48
Second Class,Corporate,United States,Lowell,Massachusetts,1852,east,furniture,Chairs,785.88,6,0.0,212.1876,0.27
Second Class,Corporate,United States,Lowell,Massachusetts,1852,east,office supplies,Paper,26.2,2,0.0,12.838,0.49
Second Class,Corporate,United States,Lowell,Massachusetts,1852,east,office supplies,Storage,1325.85,5,0.0,238.653,0.18
Same Day,Consumer,United States,San Diego,California,92024,west,office supplies,Paper,166.44,3,0.0,79.8912,0.48
Standard Class,Consumer,United States,Asheville,North Carolina,28806,south,office supplies,Art,8.76,5,0.2,0.7665,0.09
Standard Class,Consumer,United States,Asheville,North Carolina,28806,south,office supplies,Appliances,43.584,1,0.2,4.3584,0.1
Same Day,Consumer,United States,Pueblo,Colorado,81001,west,office supplies,Binders,11.088,7,0.7,-8.1312,-0.73
Same Day,Consumer,United States,Pueblo,Colorado,81001,west,office supplies,Binders,25.164,2,0.7,-16.776,-0.67
Standard Class,Home Office,United States,Jackson,Michigan,49201,central,office supplies,Binders,14.4,5,0.0,7.056,0.49
Standard Class,Home Office,United States,Jackson,Michigan,49201,central,technology,Accessories,619.95,5,0.0,111.591,0.18
Standard Class,Home Office,United States,Jackson,Michigan,49201,central,office supplies,Binders,89.52,4,0.0,42.0744,0.47
Standard Class,Home Office,United States,Jackson,Michigan,49201,central,technology,Machines,350.973,3,0.1,152.0883,0.43
Standard Class,Home Office,United States,Jackson,Michigan,49201,central,technology,Phones,164.99,1,0.0,49.497,0.3
Standard Class,Consumer,United States,Los Angeles,California,90004,west,office supplies,Binders,312.552,9,0.2,101.5794,0.32
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,south,office supplies,Envelopes,95.952,3,0.2,29.985,0.31
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,south,office supplies,Binders,3.204,2,0.7,-2.4564,-0.77
First Class,Consumer,United States,Peoria,Illinois,61604,central,office supplies,Binders,3.98,5,0.8,-6.567,-1.65
First Class,Corporate,United States,Los Angeles,California,90032,west,office supplies,Paper,15.7,5,0.0,7.065,0.45
First Class,Consumer,United States,Chicago,Illinois,60653,central,office supplies,Art,5.248,4,0.2,1.64,0.31
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,east,office supplies,Binders,5.346,3,0.7,-4.455,-0.83
Standard Class,Consumer,United States,Englewood,Colorado,80112,west,office supplies,Paper,15.48,3,0.2,5.6115,0.36
Standard Class,Consumer,United States,Englewood,Colorado,80112,west,technology,Phones,108.576,3,0.2,8.1432,0.08
Standard Class,Corporate,United States,Seattle,Washington,98115,west,furniture,Furnishings,109.9,5,0.0,37.366,0.34
Standard Class,Consumer,United States,Hialeah,Florida,33012,south,furniture,Furnishings,15.384,1,0.2,4.0383,0.26
First Class,Consumer,United States,Lancaster,Ohio,43130,east,office supplies,Paper,30.352,2,0.2,10.6232,0.35
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,technology,Machines,821.3,4,0.5,-16.426,-0.02
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,technology,Machines,22638.48,6,0.5,-1811.0784,-0.08
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,office supplies,Paper,21.376,4,0.2,7.4816,0.35
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,office supplies,Art,8.016,3,0.2,1.002,0.12
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,furniture,Furnishings,30.768,2,0.2,8.0766,0.26
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,office supplies,Fasteners,18.936,3,0.2,5.9175,0.31
Standard Class,Home Office,United States,Jacksonville,Florida,32216,south,furniture,Furnishings,122.352,3,0.2,15.294,0.12
Standard Class,Consumer,United States,Baltimore,Maryland,21215,east,office supplies,Paper,116.28,3,0.0,56.9772,0.49
Second Class,Consumer,United States,New York City,New York,10009,east,technology,Accessories,132.6,6,0.0,17.238,0.13
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,west,office supplies,Supplies,16.68,2,0.0,4.3368,0.26
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,west,office supplies,Paper,19.44,3,0.0,9.3312,0.48
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,west,office supplies,Paper,192.16,4,0.0,92.2368,0.48
Standard Class,Consumer,United States,Los Angeles,California,90049,west,furniture,Furnishings,227.36,7,0.0,81.8496,0.36
Standard Class,Consumer,United States,Los Angeles,California,90049,west,technology,Machines,1919.976,3,0.2,215.9973,0.11
Standard Class,Consumer,United States,Jacksonville,Florida,32216,south,office supplies,Binders,12.828,2,0.7,-8.9796,-0.7
First Class,Corporate,United States,Lakewood,Ohio,44107,east,furniture,Furnishings,45.888,4,0.2,9.1776,0.2
Second Class,Consumer,United States,Troy,New York,12180,east,office supplies,Art,60.12,9,0.0,22.2444,0.37
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,south,technology,Phones,302.376,3,0.2,37.797,0.12
Standard Class,Home Office,United States,Seattle,Washington,98105,west,office supplies,Art,13.9,5,0.0,5.56,0.4
Standard Class,Corporate,United States,New York City,New York,10024,east,technology,Phones,129.98,2,0.0,62.3904,0.48
Standard Class,Home Office,United States,Columbus,Georgia,31907,south,technology,Accessories,71.98,2,0.0,15.1158,0.21
Standard Class,Consumer,United States,New York City,New York,10024,east,technology,Phones,377.97,3,0.0,109.6113,0.29
Standard Class,Consumer,United States,Costa Mesa,California,92627,west,office supplies,Storage,124.36,2,0.0,33.5772,0.27
Second Class,Consumer,United States,Houston,Texas,77095,central,furniture,Furnishings,23.976,3,0.6,-14.3856,-0.6
Second Class,Corporate,United States,Cary,North Carolina,27511,south,office supplies,Fasteners,8.376,3,0.2,2.7222,0.32
Second Class,Corporate,United States,Cary,North Carolina,27511,south,office supplies,Appliances,58.24,5,0.2,5.096,0.09
Second Class,Consumer,United States,Alexandria,Virginia,22304,south,office supplies,Storage,81.2,5,0.0,12.18,0.15
Standard Class,Consumer,United States,Vallejo,California,94591,west,office supplies,Labels,14.45,5,0.0,6.7915,0.47
Standard Class,Consumer,United States,Vallejo,California,94591,west,office supplies,Binders,95.648,2,0.2,31.0856,0.32
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,east,technology,Phones,359.97,5,0.4,-71.994,-0.2
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,east,furniture,Tables,350.352,4,0.4,-140.1408,-0.4
First Class,Consumer,United States,Toledo,Ohio,43615,east,office supplies,Binders,1.641,1,0.7,-1.3128,-0.8
First Class,Consumer,United States,Toledo,Ohio,43615,east,technology,Phones,629.958,7,0.4,94.4937,0.15
Standard Class,Consumer,United States,Seattle,Washington,98105,west,office supplies,Art,6.63,3,0.0,1.7901,0.27
Standard Class,Consumer,United States,Seattle,Washington,98105,west,technology,Accessories,799.96,4,0.0,343.9828,0.43
Standard Class,Consumer,United States,Seattle,Washington,98105,west,furniture,Furnishings,107.53,1,0.0,21.506,0.2
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,east,technology,Phones,73.98,2,0.0,19.9746,0.27
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,east,office supplies,Art,5.58,1,0.0,2.1762,0.39
Second Class,Consumer,United States,Las Cruces,New Mexico,88001,west,office supplies,Paper,49.12,4,0.0,23.0864,0.47
Standard Class,Consumer,United States,Newark,Delaware,19711,east,technology,Phones,377.97,3,0.0,94.4925,0.25
Standard Class,Consumer,United States,Newark,Delaware,19711,east,office supplies,Paper,42.28,7,0.0,19.8716,0.47
Standard Class,Consumer,United States,Newark,Delaware,19711,east,furniture,Bookcases,299.97,3,0.0,56.9943,0.19
Standard Class,Consumer,United States,Newark,Delaware,19711,east,technology,Phones,89.98,2,0.0,43.1904,0.48
First Class,Corporate,United States,Hoover,Alabama,35244,south,office supplies,Supplies,477.24,4,0.0,9.5448,0.02
First Class,Corporate,United States,Hoover,Alabama,35244,south,technology,Accessories,25.98,2,0.0,1.5588,0.06
Second Class,Consumer,United States,Newark,Ohio,43055,east,office supplies,Envelopes,46.72,5,0.2,17.52,0.38
Standard Class,Consumer,United States,San Diego,California,92037,west,furniture,Furnishings,35.34,2,0.0,13.4292,0.38
Second Class,Corporate,United States,San Francisco,California,94122,west,furniture,Furnishings,257.64,6,0.0,100.4796,0.39
Second Class,Corporate,United States,San Francisco,California,94122,west,technology,Phones,125.976,3,0.2,47.241,0.38
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,south,technology,Accessories,79.992,1,0.2,21.9978,0.28
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,east,furniture,Tables,700.056,3,0.3,-130.0104,-0.19
Standard Class,Home Office,United States,Frisco,Texas,75034,central,technology,Accessories,27.168,4,0.2,-1.3584,-0.05
Standard Class,Consumer,United States,Tallahassee,Florida,32303,south,office supplies,Binders,8.226,3,0.7,-6.0324,-0.73
Standard Class,Consumer,United States,Seattle,Washington,98115,west,furniture,Chairs,585.552,3,0.2,73.194,0.12
Second Class,Consumer,United States,Vacaville,California,95687,west,office supplies,Storage,423.28,11,0.0,110.0528,0.26
Standard Class,Consumer,United States,Los Angeles,California,90008,west,furniture,Chairs,225.296,2,0.2,22.5296,0.1
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Art,5.56,2,0.0,2.224,0.4
Standard Class,Consumer,United States,San Francisco,California,94122,west,technology,Accessories,323.37,3,0.0,129.348,0.4
Standard Class,Consumer,United States,San Francisco,California,94122,west,technology,Phones,783.96,5,0.2,68.5965,0.09
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Appliances,1447.65,5,0.0,419.8185,0.29
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Paper,11.96,2,0.0,5.8604,0.49
Second Class,Consumer,United States,New York City,New York,10035,east,technology,Accessories,239.97,3,0.0,71.991,0.3
Standard Class,Home Office,United States,Columbus,Georgia,31907,south,furniture,Furnishings,76.92,4,0.0,31.5372,0.41
Standard Class,Home Office,United States,Columbus,Georgia,31907,south,office supplies,Storage,481.32,4,0.0,125.1432,0.26
First Class,Home Office,United States,Murray,Utah,84107,west,office supplies,Paper,48.4,5,0.0,23.232,0.48
First Class,Home Office,United States,San Francisco,California,94110,west,technology,Accessories,0.99,1,0.0,0.4356,0.44
First Class,Home Office,United States,San Francisco,California,94110,west,office supplies,Binders,101.84,5,0.2,36.917,0.36
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Binders,10.332,3,0.7,-7.5768,-0.73
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Binders,31.155,5,0.7,-23.8855,-0.77
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,east,office supplies,Storage,8.928,2,0.2,0.6696,0.07
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,east,office supplies,Appliances,34.384,1,0.2,3.8682,0.11
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,east,office supplies,Appliances,1924.16,8,0.2,312.676,0.16
Standard Class,Consumer,United States,Dallas,Texas,75220,central,office supplies,Appliances,32.192,2,0.8,-80.48,-2.5
Standard Class,Consumer,United States,Dallas,Texas,75220,central,technology,Accessories,50.12,7,0.2,-0.6265,-0.01
Standard Class,Consumer,United States,Dallas,Texas,75220,central,technology,Accessories,47.976,3,0.2,1.7991,0.04
Standard Class,Consumer,United States,Waukesha,Wisconsin,53186,central,office supplies,Storage,54.5,5,0.0,14.17,0.26
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,south,furniture,Furnishings,19.104,3,0.2,5.7312,0.3
Standard Class,Consumer,United States,Detroit,Michigan,48205,central,office supplies,Binders,49.44,3,0.0,24.2256,0.49
Standard Class,Home Office,United States,Springfield,Ohio,45503,east,office supplies,Paper,10.368,2,0.2,3.6288,0.35
Standard Class,Consumer,United States,San Diego,California,92037,west,office supplies,Storage,154.44,3,0.0,1.5444,0.01
Standard Class,Corporate,United States,Colorado Springs,Colorado,80906,west,office supplies,Appliances,60.984,7,0.2,4.5738,0.08
Second Class,Consumer,United States,Bakersfield,California,93309,west,furniture,Bookcases,195.466,2,0.15,-13.7976,-0.07
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,south,furniture,Furnishings,23.68,8,0.2,6.216,0.26
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,south,technology,Accessories,2.376,3,0.2,0.7425,0.31
First Class,Consumer,United States,New York City,New York,10035,east,office supplies,Labels,59.2,4,0.0,29.6,0.5
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,central,office supplies,Art,22.0,10,0.0,9.68,0.44
Standard Class,Consumer,United States,Detroit,Michigan,48234,central,technology,Phones,257.98,2,0.0,74.8142,0.29
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,east,technology,Phones,23.988,2,0.4,-15.992,-0.67
Standard Class,Corporate,United States,Troy,Ohio,45373,east,technology,Phones,23.976,4,0.4,-15.5844,-0.65
First Class,Home Office,United States,Los Angeles,California,90036,west,furniture,Chairs,601.536,4,0.2,0.0,0.0
First Class,Home Office,United States,Los Angeles,California,90036,west,office supplies,Fasteners,7.9,2,0.0,2.528,0.32
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,central,furniture,Furnishings,58.36,5,0.6,-24.803,-0.43
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,central,office supplies,Art,16.464,7,0.2,1.4406,0.09
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,central,furniture,Furnishings,39.96,5,0.6,-23.976,-0.6
First Class,Corporate,United States,Omaha,Nebraska,68104,central,office supplies,Appliances,25.96,2,0.0,7.5284,0.29
First Class,Corporate,United States,Omaha,Nebraska,68104,central,office supplies,Appliances,36.27,3,0.0,10.881,0.3
First Class,Corporate,United States,Omaha,Nebraska,68104,central,office supplies,Paper,6.48,1,0.0,3.1104,0.48
Standard Class,Corporate,United States,Redondo Beach,California,90278,west,technology,Phones,1075.088,14,0.2,94.0702,0.09
Standard Class,Corporate,United States,Redondo Beach,California,90278,west,technology,Phones,438.368,4,0.2,38.3572,0.09
Standard Class,Corporate,United States,Redondo Beach,California,90278,west,office supplies,Binders,18.088,7,0.2,6.5569,0.36
Standard Class,Corporate,United States,Redondo Beach,California,90278,west,furniture,Bookcases,308.499,3,0.15,-18.147,-0.06
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,south,office supplies,Art,13.36,4,0.0,4.1416,0.31
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,south,office supplies,Paper,39.96,2,0.0,18.7812,0.47
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,south,office supplies,Binders,145.85,5,0.0,70.008,0.48
First Class,Corporate,United States,Miami,Florida,33180,south,technology,Phones,783.96,5,0.2,78.396,0.1
First Class,Consumer,United States,Salem,Oregon,97301,west,office supplies,Art,7.88,1,0.2,1.773,0.22
Standard Class,Consumer,United States,Las Cruces,New Mexico,88001,west,furniture,Furnishings,41.37,3,0.0,17.3754,0.42
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Paper,12.84,3,0.0,5.778,0.45
Standard Class,Consumer,United States,San Francisco,California,94122,west,office supplies,Paper,25.68,6,0.0,11.556,0.45
Standard Class,Consumer,United States,El Paso,Texas,79907,central,furniture,Chairs,47.516,2,0.3,-2.0364,-0.04
Second Class,Consumer,United States,Seattle,Washington,98115,west,office supplies,Fasteners,9.42,2,0.0,0.471,0.05
Second Class,Consumer,United States,Seattle,Washington,98115,west,office supplies,Paper,12.96,2,0.0,6.2208,0.48
Second Class,Consumer,United States,Seattle,Washington,98115,west,furniture,Bookcases,704.9,5,0.0,56.392,0.08
Second Class,Consumer,United States,Seattle,Washington,98115,west,furniture,Chairs,561.568,2,0.2,28.0784,0.05
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,central,office supplies,Paper,179.82,9,0.0,84.5154,0.47
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,central,furniture,Furnishings,185.58,6,0.0,76.0878,0.41
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,central,furniture,Tables,214.11,3,0.0,36.3987,0.17
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,central,technology,Accessories,999.96,4,0.0,229.9908,0.23
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,central,furniture,Tables,653.55,3,0.0,111.1035,0.17
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,east,office supplies,Binders,114.6,5,0.0,51.57,0.45
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,east,furniture,Chairs,60.74,1,0.0,15.185,0.25
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,east,furniture,Furnishings,124.36,2,0.0,27.3592,0.22
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,east,office supplies,Storage,1088.76,6,0.0,315.7404,0.29
First Class,Consumer,United States,Encinitas,California,92024,west,office supplies,Binders,6.72,5,0.2,2.352,0.35
First Class,Consumer,United States,Encinitas,California,92024,west,furniture,Tables,298.776,3,0.2,7.4694,0.02
Standard Class,Consumer,United States,Anaheim,California,92804,west,technology,Phones,302.376,3,0.2,22.6782,0.08
